iteration,operator,move,temperature,accepted,candidate_objective,current_objective,best_objective,candidate_spots,best_spots,candidate_days,candidate_over_budget_days,candidate_time_window_violations,candidate_limited_lodging_nights
203,lodging_pressure_removal,two_opt,1897.5452,True,258461.866,258461.866,258470.175,32,32,30,2,0,0
204,worst_removal,swap,1886.1599,False,886.656,258461.866,258470.175,29,32,32,2,0,1
205,worst_removal,two_opt,1874.843,False,-241195.053,258461.866,258470.175,32,32,34,6,0,2
206,long_arc_removal,none,1863.5939,False,254879.026,258461.866,258470.175,31,32,30,2,0,0
207,lodging_pressure_removal,swap,1852.4124,False,-111252.232,258461.866,258470.175,32,32,33,5,0,0
208,worst_removal,swap,1841.2979,False,-372865.739,258461.866,258470.175,30,32,35,5,0,0
209,lodging_pressure_removal,two_opt,1830.2501,False,-235628.419,258461.866,258470.175,32,32,34,4,0,2
210,random_removal,none,1819.2686,True,258445.654,258445.654,258470.175,32,32,30,2,0,0
211,long_arc_removal,none,1808.353,True,258445.654,258445.654,258470.175,32,32,30,2,0,0
212,lodging_pressure_removal,none,1797.5029,True,258445.654,258445.654,258470.175,32,32,30,2,0,0
213,lodging_pressure_removal,none,1786.7178,True,258445.654,258445.654,258470.175,32,32,30,2,0,0
214,lodging_pressure_removal,reorder,1775.9975,False,249372.949,258445.654,258470.175,32,32,29,6,0,2
215,worst_removal,swap,1765.3416,False,243611.212,258445.654,258470.175,29,32,30,3,0,1
216,worst_removal,reorder,1754.7495,False,249372.949,258445.654,258470.175,32,32,29,6,0,2
217,random_removal,none,1744.221,False,255179.294,258445.654,258470.175,31,32,30,2,0,0
218,long_arc_removal,none,1733.7557,False,254933.838,258445.654,258470.175,32,32,30,3,0,0
219,lodging_pressure_removal,swap,1723.3531,False,-364193.346,258445.654,258470.175,32,32,35,6,0,0
220,region_removal,two_opt,1713.013,True,258445.654,258445.654,258470.175,32,32,30,2,0,0
221,random_removal,reorder,1702.735,False,249322.861,258445.654,258470.175,32,32,29,6,0,2
222,lodging_pressure_removal,reorder,1692.5185,False,249372.949,258445.654,258470.175,32,32,29,6,0,2
223,long_arc_removal,two_opt,1682.3634,True,257428.05,257428.05,258470.175,32,32,30,3,0,0
224,region_removal,none,1672.2693,False,256402.001,257428.05,258470.175,32,32,30,3,0,1
225,long_arc_removal,none,1662.2356,False,254933.838,257428.05,258470.175,32,32,30,3,0,0
226,long_arc_removal,reorder,1652.2622,False,249322.861,257428.05,258470.175,32,32,29,6,0,2
227,worst_removal,two_opt,1642.3486,False,128196.053,257428.05,258470.175,31,32,31,4,0,1
228,region_removal,none,1632.4946,True,256412.802,256412.802,258470.175,32,32,30,4,0,0
229,long_arc_removal,reorder,1622.6996,False,248160.13,256412.802,258470.175,32,32,29,7,0,2
230,lodging_pressure_removal,swap,1612.9634,True,257430.405,257430.405,258470.175,32,32,30,3,0,0
231,random_removal,none,1603.2856,False,245032.976,257430.405,258470.175,30,32,30,2,0,1
232,worst_removal,none,1593.6659,False,247990.397,257430.405,258470.175,29,32,30,1,0,0
233,long_arc_removal,two_opt,1584.1039,False,5344.417,257430.405,258470.175,32,32,32,6,0,1
234,long_arc_removal,reorder,1574.5993,False,217244.962,257430.405,258470.175,27,32,25,4,0,2
